,address,chain_name,city,store_name,chain_code,store_code
355,אבן גבירול 14,am:pm,תל אביב,אבן גבירול,7290492000005,508
356,אבן גבירול 157,שופרסל שלי,תל אביב,"ת""א- נורדאו",7290027600007,11
357,אבן גבירול 161,am:pm,תל אביב,הקסטל,7290492000005,578
358,אבן גבירול 166,גוד פארם,תל אביב,בית וואלה,7290058197699,150
359,אבן גבירול 49,נתיב החסד,עפולה,עפולה,7290058160839,52
361,אבן גבירול 64,טיב טעם סיטי,תל אביב,אבן גבירול 64,7290873255550,63
362,אבן גבירול 71,BE,תל אביב,גן העיר,7290027600007,322
363,אבן גבירול 71,טיב טעם סיטי,תל אביב,עדן טבע מרקט גן העיר,7290873255550,156
364,אבן גבירול 73,סופר יודה,תל אביב,אבן גבירול 73,7290000000002,212
365,אבן גבירול 73,סופר יודה,תל אביב,אבן גבירול 73,7290000000002,8
366,אבן גבירול 91,am:pm,תל אביב,אבן גבירול 91,7290492000005,557
367,אבני נזר 18,ברכל,מודיעין עילית,אבני נזר,7290058160839,224
369,אבני נזר 46,יש חסד,מודיעין עילית,מודיעין עלי-ק.ספר,7290027600007,607
371,אבשלום גיסין 15,גוד פארם,פתח תקווה,"גיסין פ""ת",7290058197699,952
373,אגם כינרת 6,סופר פארם,נתניה,אגמים נתניה,7290172900007,233
375,אגרון 1,שופרסל שלי,ירושלים,ירום- אגרון,7290027600007,2
377,אגריפס 40,מעיין 2000,ירושלים,מרכז כלל,7290058159628,13
379,אדום 24 פארק התעשיות כנות,אושר עד,גדרה,כנות,7290103152017,6
381,אדמונד רוטשילד 8,שופרסל דיל,אשקלון,אשקלון- רוטשילד,7290027600007,209
383,אהבת ישראל 1,שפע ברכת השם קרוב לבית,כוכב יעקב,תל ציון,7290058134977,36
385,אהבת שלום 9,good מרקט,בית שמש,גוד מרקט אהבת שלום,7290027600007,773
387,אהוד קינמון 14,טיב טעם,בת ים,בת ים,7290873255550,6
389,אהליאב 21,good מרקט,ירושלים,גוד מרקט אהליאב,7290027600007,778
391,אהרון בקר 8,BE,תל אביב,תל ברוך,7290027600007,674
392,אודיטוריום חיפה,סופר פארם,חיפה,אודיטוריום,7290172900007,111
394,אודם 4 צ'ק פוסט,מיני סופר אלונית,חיפה,מנהרות הכרמל,7290492000005,821
396,אוהלי יוסף 3,זול ובגדול,ירושלים,אוהלי יוסף,7290000000001,36
398,אונטרמן שכונת גילה,yellow,ירושלים,גילה- חוסיין כדייר,7290644700005,524
400,אוסטשינסקי 15,שופרסל אקספרס,כפר סבא,אוסטשינסקי,7290027600007,171
402,אוסישקין 5,שופרסל שלי,רמת השרון,רמת השרון- אוסישקין,7290027600007,57
404,אוסישקין 62 רמת השרון,סופר פארם,הרצליה,אוסישקין רמת השרון,7290172900007,127
406,אופנהיימר 10,ויקטורי,רחובות,רחובות,7290696200003,83
408,אופנהיימר 2,טיב טעם,רחובות,רחובות,7290873255550,18
410,אור הגנוז,ברכל,אור הגנוז,אור הגנוז,7290058160839,243
412,אורגים פינתב.ג,שופרסל דיל,באר שבע,"ב""ש- צ'ורלי",7290027600007,65
414,אורוגאי 3,שופרסל שלי,ירושלים,ירום- יובל,7290027600007,5
416,אורוגואי 31,זול ובגדול,ירושלים,קריית יובל,7290000000001,15
418,אורוגוואי 8,סופר ספיר בשכונה,ירושלים,קרית יובל אורוגוואי,7290058156016,44
420,אורט ישראל 25,שופרסל דיל,בת ים,בת ים- אורט ישראל,7290027600007,124
422,אורי צבי גרינברג 25,פרשמרקט,תל אביב,אזורי חן,7290876100000,4
423,אושיסקין 43,סופר יודה,רמת השרון,רמת השרון,7290000000002,34
424,אושיסקין 43,סופר יודה,רמת השרון,רמת השרון,7290000000002,233
426,"אזוה""ת מערבי, כביש 4",סופר פארם,זכרון יעקב,מול-זכרון,7290172900007,154
428,אזור המלאכה- ישפרו סנטר מודיעין,סופר פארם,מודיעין-מכבים-רעות,מודיעין ישפרו,7290172900007,125
430,אזור התעשיה,שופרסל דיל,באר טוביה,באר טוביה,7290027600007,261
432,אזור התעשיה,מעיין 2000,רכסים,רכסים,7290058159628,41
434,אזור התעשיה מול בית העלמין.,yellow,מודיעין-מכבים-רעות,מודיעין,7290644700005,253
436,אזור התעשיה מיתרים,מחסני השוק בסיטי,מיתר,מיתרים,7290661400001,45
438,אזור התעשיה שער בנימין,מעיין 2000,ירושלים,שער בנימין,7290058159628,26
440,אזור התעשייה,yellow,נהריה,פז נהריה לוחמי הגיטא,7290644700005,427
442,אזור התעשייה ב,שופרסל דיל,מגדל העמק,מגדל העמק- א ת דרומי,7290027600007,361
