address	chain_name	city	store_name	chain_code	store_code
כניסה ראשית של אשקלון-כ.אשקלון-עזה	yellow	אשקלון 	אשקלון גלים	7290644700005	122
כנסת יחזקאל 6	שפע ברכת השם קרוב לבית	ביתר עילית	כנסת יחזקאל	7290058134977	19
כנסת יחזקאל 6	שפע ברכת השם קרוב לבית	ביתר עילית 	כנסת יחזקאל	7290058134977	19
כנפי נשרים 22 גבעת שאול ירושלים	סופר פארם	ירושלים	גבעת שאול	7290172900007	88
כנפי נשרים 22 גבעת שאול ירושלים	סופר פארם	ירושלים 	גבעת שאול	7290172900007	88
כנפי נשרים 24	יש חסד	ירושלים	כנפי נשרים	7290027600007	496
כנפי נשרים 24	יש חסד	ירושלים 	כנפי נשרים	7290027600007	496
כנפי נשרים 26	רמי לוי	ירושלים	כנפי נשרים	7290058140886	22
כנפי נשרים 26	רמי לוי	ירושלים 	כנפי נשרים	7290058140886	22
כף החיים 38	שפע ברכת השם קרוב לבית	ביתר עילית	כף החיים	7290058134977	1
כף החיים 38	שפע ברכת השם קרוב לבית	ביתר עילית 	כף החיים	7290058134977	1
כפר איכסאל	yellow	נצרת	איכסל	7290644700005	406
כפר איכסאל	yellow	נצרת 	איכסל	7290644700005	406
כפר יאסיף	yellow	כפר יאסיף	כפר יסיף	7290644700005	407
כפר יאסיף	yellow	כפר יאסיף 	כפר יסיף	7290644700005	407
כפר-יאסיף 15	סופר פארם	כפר יאסיף	כפר יאסיף	7290172900007	134
כפר-יאסיף 15	סופר פארם	כפר יאסיף 	כפר יאסיף	7290172900007	134
כצנלסון 129	am:pm	גבעתיים	כצנלסון גבעתיים	7290492000005	531
כצנלסון 129	am:pm	גבעתיים 	כצנלסון גבעתיים	7290492000005	531
כצנלסון 19	שופרסל אקספרס	גבעתיים	גבעתיים- כצנלסון	7290027600007	379
כצנלסון 19	שופרסל אקספרס	גבעתיים 	גבעתיים- כצנלסון	7290027600007	379
כרמלים אזהת טירת הכרמל 	yellow	טירת כרמל	מתחם טירת הכרמל	7290644700005	356
כרמלים אזהת טירת הכרמל 	yellow	טירת כרמל 	מתחם טירת הכרמל	7290644700005	356
לב האגם 10	יש חסד	טבריה	טבריה עלית-לב האגם	7290027600007	111
לב האגם 10	יש חסד	טבריה 	טבריה עלית-לב האגם	7290027600007	111
לב העיר 2, קניון עזריאלי	טיב טעם סיטי	מודיעין-מכבים-רעות	מודיעין סיטי עזריאלי	7290873255550	86
לב העיר 2, קניון עזריאלי	טיב טעם סיטי	מודיעין-מכבים-רעות 	מודיעין סיטי עזריאלי	7290873255550	86
לב השרון 422	שופרסל שלי	קדימה-צורן	צורן קדימה- לב השרון	7290027600007	357
לב השרון 422	שופרסל שלי	קדימה-צורן 	צורן קדימה- לב השרון	7290027600007	357
לבונה 7	קינג סטור	חיפה	כבאביר חיפה	7290058108879	14
לבונה 7	קינג סטור	חיפה 	כבאביר חיפה	7290058108879	14
לואי ליפסקי 39	זול ובגדול	ירושלים	רמות א	7290000000001	23
לואי ליפסקי 39	זול ובגדול	ירושלים 	רמות א	7290000000001	23
לואיס ברנדס 3	שערי רווחה	ירושלים	לואיס ברנדס	7290027600007	176
לואיס ברנדס 3	שערי רווחה	ירושלים 	לואיס ברנדס	7290027600007	176
לוחמי הגטאות 1	מחסני השוק	צפת	צפת	7290661400001	76
לוחמי הגטאות 1	מחסני השוק	צפת 	צפת	7290661400001	76
לוחמי הגטאות 36	שופרסל דיל	נהריה	נהריה- לוחמי הגטאות	7290027600007	121
לוחמי הגטאות 36	שופרסל דיל	נהריה 	נהריה- לוחמי הגטאות	7290027600007	121
לוחמי הגטאות 9	קשת טעמים	נהריה	נהריה	7290785400000	2
לוחמי הגטאות 9	קשת טעמים	נהריה 	נהריה	7290785400000	2
לוי אשכול 37	מחסני השוק בשבילך	כפר סבא	כפר סבא	7290633800006	290
לוי אשכול 37	מחסני השוק בשבילך	כפר סבא 	כפר סבא	7290633800006	290
לוי משה 8	כל בו חצי חינם	ראשון לציון	תוצרת חקלאית שוק	7290700100008	8
לוי משה 8	כל בו חצי חינם	ראשון לציון 	תוצרת חקלאית שוק	7290700100008	8
לוינסקי 108 תל אביב	סופר פארם	תל אביב	תחנה מרכזית	7290172900007	33
לוריא 8	אלונית	תל אביב	חניון כיכר דיזינגוף	7290492000005	858
לח"י 2	BE	ראשון לציון	ראשון לציון	7290027600007	782
לח"י 2	BE	ראשון לציון 	ראשון לציון	7290027600007	782
לח"י 4	קשת טעמים	ראשון לציון	ראשון לציון מערב	7290785400000	24
לח"י 4	קשת טעמים	ראשון לציון 	ראשון לציון מערב	7290785400000	24
לח"י 8	מחסני מזון	טירת כרמל	טירת הכרמל	7290876100000	6
לח"י 8	מחסני מזון	טירת כרמל 	טירת הכרמל	7290876100000	6
לחי 4, מתחם G	רמי לוי	ראשון לציון	ראשון לציון	7290058140886	43
לחי 4, מתחם G	רמי לוי	ראשון לציון 	ראשון לציון	7290058140886	43
ליבריה 2 דניה	שופרסל שלי	חיפה	חיפה- דניה	7290027600007	38
ליבריה 2 דניה	שופרסל שלי	חיפה 	חיפה- דניה	7290027600007	38
